timestamp_utc,market_slug,side,price,size,total_usd
2026-03-14 15:02:37 UTC,eth-updown-5m-1773500400,BUY,0.89,5.831454,5.19
2026-03-14 15:02:37 UTC,eth-updown-5m-1773500400,BUY,0.884776,10.47,9.2636
2026-03-14 15:02:37 UTC,eth-updown-5m-1773500400,BUY,0.88,0.98,0.8624
2026-03-14 15:02:37 UTC,eth-updown-5m-1773500400,BUY,0.88,9.102266,8.01
2026-03-14 15:02:37 UTC,eth-updown-5m-1773500400,BUY,0.88,5.909083,5.2
2026-03-14 15:02:37 UTC,eth-updown-5m-1773500400,BUY,0.87,9.11,7.9257
2026-03-14 15:02:35 UTC,eth-updown-5m-1773500400,BUY,0.88,9.806816,8.63
2026-03-14 15:02:33 UTC,eth-updown-5m-1773500400,BUY,0.83,17.0,14.11
2026-03-14 15:02:29 UTC,eth-updown-5m-1773500400,BUY,0.8,12.18,9.744
2026-03-14 15:02:29 UTC,eth-updown-5m-1773500400,BUY,0.79,5.329109,4.21
2026-03-14 15:02:27 UTC,eth-updown-5m-1773500400,BUY,0.789387,5.219238,4.12
2026-03-14 15:02:27 UTC,eth-updown-5m-1773500400,BUY,0.75,13.0,9.75
2026-03-14 15:02:27 UTC,eth-updown-5m-1773500400,BUY,0.77,11.428569,8.8
2026-03-14 15:02:27 UTC,eth-updown-5m-1773500400,BUY,0.69,6.0,4.14
2026-03-14 15:02:19 UTC,eth-updown-5m-1773500400,BUY,0.78,4.1,3.198
2026-03-14 15:01:17 UTC,eth-updown-5m-1773500400,BUY,0.749478,13.782932,10.33
2026-03-14 15:01:17 UTC,eth-updown-5m-1773500400,BUY,0.734269,6.823107,5.01
2026-03-14 15:01:17 UTC,eth-updown-5m-1773500400,BUY,0.73,6.082188,4.44
2026-03-14 15:00:35 UTC,eth-updown-5m-1773500400,BUY,0.49,5.571427,2.73
2026-03-14 15:00:25 UTC,eth-updown-5m-1773500400,BUY,0.4,6.45,2.58
2026-03-14 15:00:25 UTC,eth-updown-5m-1773500400,BUY,0.53,1.17,0.6201
2026-03-14 15:00:25 UTC,eth-updown-5m-1773500400,BUY,0.52,5.230768,2.72
2026-03-14 15:00:23 UTC,eth-updown-5m-1773500400,BUY,0.52,11.096152,5.77
2026-03-14 15:00:23 UTC,eth-updown-5m-1773500400,BUY,0.421236,18.255812,7.69
2026-03-14 15:00:23 UTC,eth-updown-5m-1773500400,BUY,0.41,6.585364,2.7
2026-03-14 15:00:23 UTC,eth-updown-5m-1773500400,BUY,0.41,6.487803,2.66
2026-03-14 15:00:23 UTC,eth-updown-5m-1773500400,BUY,0.401379,6.402925,2.57
2026-03-14 15:00:23 UTC,eth-updown-5m-1773500400,BUY,0.39,1.08,0.4212
2026-03-14 15:00:23 UTC,eth-updown-5m-1773500400,BUY,0.39,6.461537,2.52
2026-03-14 15:00:23 UTC,eth-updown-5m-1773500400,BUY,0.39,6.02564,2.35
2026-03-14 14:58:51 UTC,eth-updown-5m-1773500100,BUY,0.81,15.604936,12.64
2026-03-14 14:57:53 UTC,eth-updown-5m-1773500100,BUY,0.38,7.631577,2.9
2026-03-14 14:57:53 UTC,eth-updown-5m-1773500100,BUY,0.37,5.0,1.85
2026-03-14 14:57:53 UTC,eth-updown-5m-1773500100,BUY,0.346118,10.805554,3.74
2026-03-14 14:57:53 UTC,eth-updown-5m-1773500100,BUY,0.32,6.0,1.92
2026-03-14 14:57:53 UTC,eth-updown-5m-1773500100,BUY,0.36,4.19,1.5084
2026-03-14 14:57:37 UTC,eth-updown-5m-1773500100,BUY,0.45,5.0,2.25
2026-03-14 14:57:37 UTC,eth-updown-5m-1773500100,BUY,0.45,6.933332,3.12
2026-03-14 14:57:31 UTC,eth-updown-5m-1773500100,BUY,0.48,25.0625,12.03
2026-03-14 14:56:01 UTC,eth-updown-5m-1773500100,BUY,0.32,6.0,1.92
2026-03-14 14:54:19 UTC,eth-updown-5m-1773499800,BUY,0.97,2.82,2.7354
2026-03-14 14:54:11 UTC,eth-updown-5m-1773499800,BUY,0.95,25.1263,23.87
2026-03-14 14:53:59 UTC,eth-updown-5m-1773499800,BUY,0.94,17.57,16.5158
2026-03-14 14:53:57 UTC,eth-updown-5m-1773499800,BUY,0.93,25.279557,23.51
2026-03-14 14:53:53 UTC,eth-updown-5m-1773499800,BUY,0.91,3.05,2.7755
2026-03-14 14:50:47 UTC,eth-updown-5m-1773499800,BUY,0.52,6.0,3.12
2026-03-14 14:50:47 UTC,eth-updown-5m-1773499800,BUY,0.53,1.56,0.8268
2026-03-14 14:50:09 UTC,eth-updown-5m-1773499800,BUY,0.56,54.446427,30.49
2026-03-14 14:48:03 UTC,eth-updown-5m-1773499500,BUY,0.22,5.31818,1.17
2026-03-14 14:48:03 UTC,eth-updown-5m-1773499500,BUY,0.22,7.272726,1.6
2026-03-14 14:48:03 UTC,eth-updown-5m-1773499500,BUY,0.22,5.409089,1.19
2026-03-14 14:46:21 UTC,eth-updown-5m-1773499500,BUY,0.75,5.36,4.02
2026-03-14 14:45:15 UTC,eth-updown-5m-1773499500,BUY,0.46,25.826085,11.88
2026-03-14 14:45:15 UTC,eth-updown-5m-1773499500,BUY,0.46,5.95652,2.74
2026-03-14 14:45:13 UTC,eth-updown-5m-1773499500,BUY,0.49,5.285713,2.59
2026-03-14 14:45:13 UTC,eth-updown-5m-1773499500,BUY,0.48,6.229165,2.99
